Epoch 001/100 [0031/0049] -- loss_G: 10.1235 | loss_G_identity: 3.0141 | loss_G_GAN: 0.8697 | loss_G_cycle: 6.2396 | loss_D: 0.3396 -- ETA: 2:25:34.254446
Epoch 001/100 [0032/0049] -- loss_G: 10.0717 | loss_G_identity: 2.9996 | loss_G_GAN: 0.8567 | loss_G_cycle: 6.2154 | loss_D: 0.3380 -- ETA: 2:24:25.553254
Epoch 001/100 [0033/0049] -- loss_G: 10.0080 | loss_G_identity: 2.9735 | loss_G_GAN: 0.8682 | loss_G_cycle: 6.1663 | loss_D: 0.3354 -- ETA: 2:23:21.350321
Epoch 001/100 [0034/0049] -- loss_G: 9.9507 | loss_G_identity: 2.9593 | loss_G_GAN: 0.8527 | loss_G_cycle: 6.1388 | loss_D: 0.3351 -- ETA: 2:22:21.502155
Epoch 001/100 [0035/0049] -- loss_G: 9.9100 | loss_G_identity: 2.9378 | loss_G_GAN: 0.8666 | loss_G_cycle: 6.1056 | loss_D: 0.3336 -- ETA: 2:21:24.289140
Epoch 001/100 [0036/0049] -- loss_G: 9.8652 | loss_G_identity: 2.9260 | loss_G_GAN: 0.8532 | loss_G_cycle: 6.0859 | loss_D: 0.3321 -- ETA: 2:20:32.546154
Epoch 001/100 [0037/0049] -- loss_G: 9.8587 | loss_G_identity: 2.9175 | loss_G_GAN: 0.8721 | loss_G_cycle: 6.0691 | loss_D: 0.3309 -- ETA: 2:19:44.139945
Epoch 001/100 [0038/0049] -- loss_G: 9.8244 | loss_G_identity: 2.9116 | loss_G_GAN: 0.8540 | loss_G_cycle: 6.0587 | loss_D: 0.3336 -- ETA: 2:18:57.018538
Epoch 001/100 [0039/0049] -- loss_G: 9.8306 | loss_G_identity: 2.9050 | loss_G_GAN: 0.8781 | loss_G_cycle: 6.0476 | loss_D: 0.3315 -- ETA: 2:18:15.392685
Epoch 001/100 [0040/0049] -- loss_G: 9.8015 | loss_G_identity: 2.8973 | loss_G_GAN: 0.8643 | loss_G_cycle: 6.0399 | loss_D: 0.3293 -- ETA: 2:17:36.032042
Epoch 001/100 [0041/0049] -- loss_G: 9.7573 | loss_G_identity: 2.8800 | loss_G_GAN: 0.8698 | loss_G_cycle: 6.0076 | loss_D: 0.3263 -- ETA: 2:16:56.879256
Epoch 001/100 [0042/0049] -- loss_G: 9.7163 | loss_G_identity: 2.8679 | loss_G_GAN: 0.8676 | loss_G_cycle: 5.9808 | loss_D: 0.3236 -- ETA: 2:16:16.480534
Epoch 001/100 [0043/0049] -- loss_G: 9.6850 | loss_G_identity: 2.8582 | loss_G_GAN: 0.8658 | loss_G_cycle: 5.9611 | loss_D: 0.3199 -- ETA: 2:15:40.464128
Epoch 001/100 [0044/0049] -- loss_G: 9.6661 | loss_G_identity: 2.8499 | loss_G_GAN: 0.8668 | loss_G_cycle: 5.9494 | loss_D: 0.3158 -- ETA: 2:15:06.242698
Epoch 001/100 [0045/0049] -- loss_G: 9.6568 | loss_G_identity: 2.8499 | loss_G_GAN: 0.8638 | loss_G_cycle: 5.9432 | loss_D: 0.3144 -- ETA: 2:14:32.395620
Epoch 001/100 [0046/0049] -- loss_G: 9.6297 | loss_G_identity: 2.8390 | loss_G_GAN: 0.8708 | loss_G_cycle: 5.9199 | loss_D: 0.3146 -- ETA: 2:14:01.533844
Epoch 001/100 [0047/0049] -- loss_G: 9.6385 | loss_G_identity: 2.8422 | loss_G_GAN: 0.8697 | loss_G_cycle: 5.9267 | loss_D: 0.3153 -- ETA: 2:13:29.856403
Epoch 001/100 [0048/0049] -- loss_G: 9.6289 | loss_G_identity: 2.8359 | loss_G_GAN: 0.8740 | loss_G_cycle: 5.9190 | loss_D: 0.3160 -- ETA: 2:13:02.283662
Epoch 001/100 [0049/0049] -- loss_G: 9.6174 | loss_G_identity: 2.8290 | loss_G_GAN: 0.8814 | loss_G_cycle: 5.9070 | loss_D: 0.3182 -- ETA: 2:12:33.505601
Epoch 002/100 [0001/0049] -- loss_G: 9.6234 | loss_G_identity: 2.8326 | loss_G_GAN: 0.8762 | loss_G_cycle: 5.9146 | loss_D: 0.3166 -- ETA: 2:13:46.783279
Epoch 002/100 [0002/0049] -- loss_G: 9.6214 | loss_G_identity: 2.8305 | loss_G_GAN: 0.8794 | loss_G_cycle: 5.9115 | loss_D: 0.3146 -- ETA: 2:13:21.540763
Epoch 002/100 [0003/0049] -- loss_G: 9.5959 | loss_G_identity: 2.8220 | loss_G_GAN: 0.8823 | loss_G_cycle: 5.8916 | loss_D: 0.3117 -- ETA: 2:12:57.048001
Epoch 002/100 [0004/0049] -- loss_G: 9.5638 | loss_G_identity: 2.8143 | loss_G_GAN: 0.8751 | loss_G_cycle: 5.8744 | loss_D: 0.3096 -- ETA: 2:12:32.364395
Epoch 002/100 [0005/0049] -- loss_G: 9.5766 | loss_G_identity: 2.8149 | loss_G_GAN: 0.8858 | loss_G_cycle: 5.8759 | loss_D: 0.3060 -- ETA: 2:12:10.467066
Epoch 002/100 [0006/0049] -- loss_G: 9.5598 | loss_G_identity: 2.8138 | loss_G_GAN: 0.8768 | loss_G_cycle: 5.8692 | loss_D: 0.3057 -- ETA: 2:11:50.609250
Epoch 002/100 [0007/0049] -- loss_G: 9.5423 | loss_G_identity: 2.8054 | loss_G_GAN: 0.8856 | loss_G_cycle: 5.8513 | loss_D: 0.3066 -- ETA: 2:11:27.248541
Epoch 002/100 [0008/0049] -- loss_G: 9.5503 | loss_G_identity: 2.8079 | loss_G_GAN: 0.8860 | loss_G_cycle: 5.8564 | loss_D: 0.3050 -- ETA: 2:11:07.456228
Epoch 002/100 [0009/0049] -- loss_G: 9.5548 | loss_G_identity: 2.8072 | loss_G_GAN: 0.8952 | loss_G_cycle: 5.8525 | loss_D: 0.3017 -- ETA: 2:10:48.664939
Epoch 002/100 [0010/0049] -- loss_G: 9.5204 | loss_G_identity: 2.7975 | loss_G_GAN: 0.8908 | loss_G_cycle: 5.8321 | loss_D: 0.2999 -- ETA: 2:10:29.487417
Epoch 002/100 [0011/0049] -- loss_G: 9.5230 | loss_G_identity: 2.7961 | loss_G_GAN: 0.9007 | loss_G_cycle: 5.8262 | loss_D: 0.2979 -- ETA: 2:10:12.041979
Epoch 002/100 [0012/0049] -- loss_G: 9.5043 | loss_G_identity: 2.7931 | loss_G_GAN: 0.8933 | loss_G_cycle: 5.8179 | loss_D: 0.2963 -- ETA: 2:09:54.648682
Epoch 002/100 [0013/0049] -- loss_G: 9.4821 | loss_G_identity: 2.7856 | loss_G_GAN: 0.8994 | loss_G_cycle: 5.7971 | loss_D: 0.2946 -- ETA: 2:09:37.508171
Epoch 002/100 [0014/0049] -- loss_G: 9.4727 | loss_G_identity: 2.7816 | loss_G_GAN: 0.8965 | loss_G_cycle: 5.7947 | loss_D: 0.2924 -- ETA: 2:09:20.927265
Epoch 002/100 [0015/0049] -- loss_G: 9.4664 | loss_G_identity: 2.7768 | loss_G_GAN: 0.9039 | loss_G_cycle: 5.7858 | loss_D: 0.2906 -- ETA: 2:09:04.593950
Epoch 002/100 [0016/0049] -- loss_G: 9.4674 | loss_G_identity: 2.7822 | loss_G_GAN: 0.8959 | loss_G_cycle: 5.7892 | loss_D: 0.2890 -- ETA: 2:08:49.202051
Epoch 002/100 [0017/0049] -- loss_G: 9.4663 | loss_G_identity: 2.7815 | loss_G_GAN: 0.9015 | loss_G_cycle: 5.7833 | loss_D: 0.2883 -- ETA: 2:08:34.377587
Epoch 002/100 [0018/0049] -- loss_G: 9.4695 | loss_G_identity: 2.7857 | loss_G_GAN: 0.8971 | loss_G_cycle: 5.7868 | loss_D: 0.2878 -- ETA: 2:08:19.349506
Epoch 002/100 [0019/0049] -- loss_G: 9.5011 | loss_G_identity: 2.7889 | loss_G_GAN: 0.9136 | loss_G_cycle: 5.7986 | loss_D: 0.2886 -- ETA: 2:08:04.176764
Epoch 002/100 [0020/0049] -- loss_G: 9.4912 | loss_G_identity: 2.7877 | loss_G_GAN: 0.9100 | loss_G_cycle: 5.7936 | loss_D: 0.2907 -- ETA: 2:07:50.430196
Epoch 002/100 [0021/0049] -- loss_G: 9.5048 | loss_G_identity: 2.7884 | loss_G_GAN: 0.9123 | loss_G_cycle: 5.8041 | loss_D: 0.2941 -- ETA: 2:07:37.206196
Epoch 002/100 [0022/0049] -- loss_G: 9.5002 | loss_G_identity: 2.7816 | loss_G_GAN: 0.9263 | loss_G_cycle: 5.7923 | loss_D: 0.3010 -- ETA: 2:07:23.559751
Epoch 002/100 [0023/0049] -- loss_G: 9.4821 | loss_G_identity: 2.7773 | loss_G_GAN: 0.9244 | loss_G_cycle: 5.7803 | loss_D: 0.3007 -- ETA: 2:07:10.549827
Epoch 002/100 [0024/0049] -- loss_G: 9.4752 | loss_G_identity: 2.7749 | loss_G_GAN: 0.9282 | loss_G_cycle: 5.7721 | loss_D: 0.2995 -- ETA: 2:06:58.036623
Epoch 002/100 [0025/0049] -- loss_G: 9.4582 | loss_G_identity: 2.7716 | loss_G_GAN: 0.9234 | loss_G_cycle: 5.7632 | loss_D: 0.2988 -- ETA: 2:06:45.653061
Epoch 002/100 [0026/0049] -- loss_G: 9.4520 | loss_G_identity: 2.7716 | loss_G_GAN: 0.9188 | loss_G_cycle: 5.7616 | loss_D: 0.2977 -- ETA: 2:06:33.168020
Epoch 002/100 [0027/0049] -- loss_G: 9.4563 | loss_G_identity: 2.7729 | loss_G_GAN: 0.9203 | loss_G_cycle: 5.7630 | loss_D: 0.2965 -- ETA: 2:06:20.690696
Epoch 002/100 [0028/0049] -- loss_G: 9.4374 | loss_G_identity: 2.7674 | loss_G_GAN: 0.9184 | loss_G_cycle: 5.7515 | loss_D: 0.2950 -- ETA: 2:06:09.169731
Epoch 002/100 [0029/0049] -- loss_G: 9.4220 | loss_G_identity: 2.7623 | loss_G_GAN: 0.9188 | loss_G_cycle: 5.7409 | loss_D: 0.2935 -- ETA: 2:05:57.292240
Epoch 002/100 [0030/0049] -- loss_G: 9.4081 | loss_G_identity: 2.7572 | loss_G_GAN: 0.9206 | loss_G_cycle: 5.7303 | loss_D: 0.2924 -- ETA: 2:05:46.273034
Epoch 002/100 [0031/0049] -- loss_G: 9.3776 | loss_G_identity: 2.7489 | loss_G_GAN: 0.9152 | loss_G_cycle: 5.7135 | loss_D: 0.2914 -- ETA: 2:05:35.566972
Epoch 002/100 [0032/0049] -- loss_G: 9.3566 | loss_G_identity: 2.7419 | loss_G_GAN: 0.9164 | loss_G_cycle: 5.6983 | loss_D: 0.2897 -- ETA: 2:05:25.171247
Epoch 002/100 [0033/0049] -- loss_G: 9.3519 | loss_G_identity: 2.7424 | loss_G_GAN: 0.9114 | loss_G_cycle: 5.6981 | loss_D: 0.2885 -- ETA: 2:05:15.292374
Epoch 002/100 [0034/0049] -- loss_G: 9.3518 | loss_G_identity: 2.7377 | loss_G_GAN: 0.9252 | loss_G_cycle: 5.6889 | loss_D: 0.2893 -- ETA: 2:05:05.068267
Epoch 002/100 [0035/0049] -- loss_G: 9.3350 | loss_G_identity: 2.7340 | loss_G_GAN: 0.9168 | loss_G_cycle: 5.6841 | loss_D: 0.2906 -- ETA: 2:04:55.959956
Epoch 002/100 [0036/0049] -- loss_G: 9.3289 | loss_G_identity: 2.7299 | loss_G_GAN: 0.9238 | loss_G_cycle: 5.6752 | loss_D: 0.2894 -- ETA: 2:04:46.180820
Epoch 002/100 [0037/0049] -- loss_G: 9.3200 | loss_G_identity: 2.7259 | loss_G_GAN: 0.9264 | loss_G_cycle: 5.6678 | loss_D: 0.2877 -- ETA: 2:04:37.085013
Epoch 002/100 [0038/0049] -- loss_G: 9.2944 | loss_G_identity: 2.7195 | loss_G_GAN: 0.9225 | loss_G_cycle: 5.6525 | loss_D: 0.2866 -- ETA: 2:04:27.764242
Epoch 002/100 [0039/0049] -- loss_G: 9.2858 | loss_G_identity: 2.7144 | loss_G_GAN: 0.9287 | loss_G_cycle: 5.6428 | loss_D: 0.2851 -- ETA: 2:04:18.827399
Epoch 002/100 [0040/0049] -- loss_G: 9.2645 | loss_G_identity: 2.7084 | loss_G_GAN: 0.9263 | loss_G_cycle: 5.6298 | loss_D: 0.2836 -- ETA: 2:04:09.222464
Epoch 002/100 [0041/0049] -- loss_G: 9.2575 | loss_G_identity: 2.7069 | loss_G_GAN: 0.9234 | loss_G_cycle: 5.6271 | loss_D: 0.2825 -- ETA: 2:03:59.206207
Epoch 002/100 [0042/0049] -- loss_G: 9.2449 | loss_G_identity: 2.7022 | loss_G_GAN: 0.9230 | loss_G_cycle: 5.6197 | loss_D: 0.2813 -- ETA: 2:03:49.563757
Epoch 002/100 [0043/0049] -- loss_G: 9.2374 | loss_G_identity: 2.6997 | loss_G_GAN: 0.9198 | loss_G_cycle: 5.6178 | loss_D: 0.2806 -- ETA: 2:03:39.462085
Epoch 002/100 [0044/0049] -- loss_G: 9.2275 | loss_G_identity: 2.6934 | loss_G_GAN: 0.9279 | loss_G_cycle: 5.6062 | loss_D: 0.2808 -- ETA: 2:03:30.488153
Epoch 002/100 [0045/0049] -- loss_G: 9.2051 | loss_G_identity: 2.6882 | loss_G_GAN: 0.9223 | loss_G_cycle: 5.5946 | loss_D: 0.2815 -- ETA: 2:03:20.879572
Epoch 002/100 [0046/0049] -- loss_G: 9.2049 | loss_G_identity: 2.6828 | loss_G_GAN: 0.9364 | loss_G_cycle: 5.5857 | loss_D: 0.2835 -- ETA: 2:03:11.361902
Epoch 002/100 [0047/0049] -- loss_G: 9.1910 | loss_G_identity: 2.6802 | loss_G_GAN: 0.9287 | loss_G_cycle: 5.5821 | loss_D: 0.2853 -- ETA: 2:03:02.695068
Epoch 002/100 [0048/0049] -- loss_G: 9.1883 | loss_G_identity: 2.6773 | loss_G_GAN: 0.9371 | loss_G_cycle: 5.5739 | loss_D: 0.2856 -- ETA: 2:02:53.568781
Epoch 002/100 [0049/0049] -- loss_G: 9.1922 | loss_G_identity: 2.6779 | loss_G_GAN: 0.9357 | loss_G_cycle: 5.5786 | loss_D: 0.2852 -- ETA: 2:02:45.073861
Epoch 003/100 [0001/0049] -- loss_G: 9.1749 | loss_G_identity: 2.6726 | loss_G_GAN: 0.9332 | loss_G_cycle: 5.5691 | loss_D: 0.2842 -- ETA: 2:03:31.179935
Epoch 003/100 [0002/0049] -- loss_G: 9.1573 | loss_G_identity: 2.6673 | loss_G_GAN: 0.9314 | loss_G_cycle: 5.5586 | loss_D: 0.2834 -- ETA: 2:03:22.547722
Epoch 003/100 [0003/0049] -- loss_G: 9.1480 | loss_G_identity: 2.6628 | loss_G_GAN: 0.9332 | loss_G_cycle: 5.5519 | loss_D: 0.2824 -- ETA: 2:03:12.810941
Epoch 003/100 [0004/0049] -- loss_G: 9.1445 | loss_G_identity: 2.6632 | loss_G_GAN: 0.9294 | loss_G_cycle: 5.5519 | loss_D: 0.2821 -- ETA: 2:03:04.590784
Epoch 003/100 [0005/0049] -- loss_G: 9.1361 | loss_G_identity: 2.6583 | loss_G_GAN: 0.9355 | loss_G_cycle: 5.5423 | loss_D: 0.2815 -- ETA: 2:02:54.889758
Epoch 003/100 [0006/0049] -- loss_G: 9.1233 | loss_G_identity: 2.6561 | loss_G_GAN: 0.9309 | loss_G_cycle: 5.5362 | loss_D: 0.2811 -- ETA: 2:02:47.751055
Epoch 003/100 [0007/0049] -- loss_G: 9.1156 | loss_G_identity: 2.6527 | loss_G_GAN: 0.9326 | loss_G_cycle: 5.5303 | loss_D: 0.2798 -- ETA: 2:02:40.141060
Epoch 003/100 [0008/0049] -- loss_G: 9.0941 | loss_G_identity: 2.6462 | loss_G_GAN: 0.9318 | loss_G_cycle: 5.5162 | loss_D: 0.2788 -- ETA: 2:02:33.169426
Epoch 003/100 [0009/0049] -- loss_G: 9.0698 | loss_G_identity: 2.6394 | loss_G_GAN: 0.9294 | loss_G_cycle: 5.5010 | loss_D: 0.2777 -- ETA: 2:02:25.811199
