Epoch 001/100 [0025/0164] --{'loss_classifier': 0.7287903428077698, 'loss_box_reg': 0.055439721792936325, 'loss_objectness': 0.6941043138504028, 'loss_rpn_box_reg': 0.325210303068161}ETA: 2:24:16.654993
Epoch 001/100 [0026/0164] --{'loss_classifier': 0.7279179096221924, 'loss_box_reg': 0.043295226991176605, 'loss_objectness': 0.6955479383468628, 'loss_rpn_box_reg': 0.23546789586544037}ETA: 2:24:10.954565
Epoch 001/100 [0027/0164] --{'loss_classifier': 0.7269623875617981, 'loss_box_reg': 0.09455835819244385, 'loss_objectness': 0.6944838762283325, 'loss_rpn_box_reg': 0.2678639888763428}ETA: 2:24:03.195526
Epoch 001/100 [0028/0164] --{'loss_classifier': 0.73048335313797, 'loss_box_reg': 0.05801226943731308, 'loss_objectness': 0.6961359977722168, 'loss_rpn_box_reg': 0.39842864871025085}ETA: 2:23:57.983305
Epoch 001/100 [0029/0164] --{'loss_classifier': 0.7232709527015686, 'loss_box_reg': 0.1087418794631958, 'loss_objectness': 0.6946009993553162, 'loss_rpn_box_reg': 0.3904254138469696}ETA: 2:23:53.902378
Epoch 001/100 [0030/0164] --{'loss_classifier': 0.7330687046051025, 'loss_box_reg': 0.047071512788534164, 'loss_objectness': 0.6949593424797058, 'loss_rpn_box_reg': 0.17221572995185852}ETA: 2:23:59.040967
Epoch 001/100 [0031/0164] --{'loss_classifier': 0.7303595542907715, 'loss_box_reg': 0.06010701507329941, 'loss_objectness': 0.6966103315353394, 'loss_rpn_box_reg': 0.4053301215171814}ETA: 2:23:53.980490
Epoch 001/100 [0032/0164] --{'loss_classifier': 0.7275124192237854, 'loss_box_reg': 0.0836620181798935, 'loss_objectness': 0.6956424713134766, 'loss_rpn_box_reg': 0.337725967168808}ETA: 2:23:50.563001
Epoch 001/100 [0033/0164] --{'loss_classifier': 0.7302349209785461, 'loss_box_reg': 0.04729391634464264, 'loss_objectness': 0.694926381111145, 'loss_rpn_box_reg': 0.5255274772644043}ETA: 2:23:45.416226
Epoch 001/100 [0034/0164] --{'loss_classifier': 0.7268512845039368, 'loss_box_reg': 0.06989096105098724, 'loss_objectness': 0.6939491033554077, 'loss_rpn_box_reg': 0.11653166264295578}ETA: 2:23:42.338087
Epoch 001/100 [0035/0164] --{'loss_classifier': 0.7251325249671936, 'loss_box_reg': 0.0567500963807106, 'loss_objectness': 0.6941904425621033, 'loss_rpn_box_reg': 0.10623904317617416}ETA: 2:23:38.369336
Epoch 001/100 [0036/0164] --{'loss_classifier': 0.7335904240608215, 'loss_box_reg': 0.013858003541827202, 'loss_objectness': 0.6951431035995483, 'loss_rpn_box_reg': 0.10623162984848022}ETA: 2:23:33.050764
Epoch 001/100 [0037/0164] --{'loss_classifier': 0.7300467491149902, 'loss_box_reg': 0.08306309580802917, 'loss_objectness': 0.6944078207015991, 'loss_rpn_box_reg': 0.4190666079521179}ETA: 2:23:28.162374
Epoch 001/100 [0038/0164] --{'loss_classifier': 0.7264135479927063, 'loss_box_reg': 0.03414933383464813, 'loss_objectness': 0.6954337954521179, 'loss_rpn_box_reg': 0.24578475952148438}ETA: 2:23:25.871306
Epoch 001/100 [0039/0164] --{'loss_classifier': 0.727232038974762, 'loss_box_reg': 0.08519399166107178, 'loss_objectness': 0.6941649317741394, 'loss_rpn_box_reg': 0.23999792337417603}ETA: 2:23:20.206521
Epoch 001/100 [0040/0164] --{'loss_classifier': 0.7257189154624939, 'loss_box_reg': 0.04854198545217514, 'loss_objectness': 0.6952292323112488, 'loss_rpn_box_reg': 0.3480949401855469}ETA: 2:23:16.121628
Epoch 001/100 [0041/0164] --{'loss_classifier': 0.7273058295249939, 'loss_box_reg': 0.043220020830631256, 'loss_objectness': 0.6944307088851929, 'loss_rpn_box_reg': 0.0771445631980896}ETA: 2:23:13.894568
Epoch 001/100 [0042/0164] --{'loss_classifier': 0.723762571811676, 'loss_box_reg': 0.07093755900859833, 'loss_objectness': 0.6963378190994263, 'loss_rpn_box_reg': 0.4794623851776123}ETA: 2:23:10.156319
Epoch 001/100 [0043/0164] --{'loss_classifier': 0.7301602959632874, 'loss_box_reg': 0.045062970370054245, 'loss_objectness': 0.695480465888977, 'loss_rpn_box_reg': 0.22849760949611664}ETA: 2:23:09.225494
Epoch 001/100 [0044/0164] --{'loss_classifier': 0.7296233177185059, 'loss_box_reg': 0.02576148509979248, 'loss_objectness': 0.6953176259994507, 'loss_rpn_box_reg': 0.4158906936645508}ETA: 2:23:05.494740
Epoch 001/100 [0045/0164] --{'loss_classifier': 0.7288317680358887, 'loss_box_reg': 0.04854695498943329, 'loss_objectness': 0.6953390836715698, 'loss_rpn_box_reg': 0.311781108379364}ETA: 2:23:01.661572
Epoch 001/100 [0046/0164] --{'loss_classifier': 0.7309949398040771, 'loss_box_reg': 0.0677671954035759, 'loss_objectness': 0.6944693326950073, 'loss_rpn_box_reg': 0.37772005796432495}ETA: 2:22:59.770213
Epoch 001/100 [0047/0164] --{'loss_classifier': 0.7314925193786621, 'loss_box_reg': 0.06898897886276245, 'loss_objectness': 0.6951627731323242, 'loss_rpn_box_reg': 0.4378109872341156}ETA: 2:22:57.882438
Epoch 001/100 [0048/0164] --{'loss_classifier': 0.7226557731628418, 'loss_box_reg': 0.036368776112794876, 'loss_objectness': 0.6943120956420898, 'loss_rpn_box_reg': 0.5388654470443726}ETA: 2:22:55.558097
Epoch 001/100 [0049/0164] --{'loss_classifier': 0.7253043055534363, 'loss_box_reg': 0.040130387991666794, 'loss_objectness': 0.6943015456199646, 'loss_rpn_box_reg': 0.4452834129333496}ETA: 2:22:53.139861
Epoch 001/100 [0050/0164] --{'loss_classifier': 0.7358493208885193, 'loss_box_reg': 0.029558870941400528, 'loss_objectness': 0.6941285133361816, 'loss_rpn_box_reg': 0.45017585158348083}ETA: 2:22:50.812408
Epoch 001/100 [0051/0164] --{'loss_classifier': 0.72794508934021, 'loss_box_reg': 0.029401108622550964, 'loss_objectness': 0.6943068504333496, 'loss_rpn_box_reg': 0.15057480335235596}ETA: 2:22:48.451345
Epoch 001/100 [0052/0164] --{'loss_classifier': 0.7206056714057922, 'loss_box_reg': 0.05941755697131157, 'loss_objectness': 0.6955227851867676, 'loss_rpn_box_reg': 0.3644014000892639}ETA: 2:22:46.038827
Epoch 001/100 [0053/0164] --{'loss_classifier': 0.7273221015930176, 'loss_box_reg': 0.06070169433951378, 'loss_objectness': 0.6941673159599304, 'loss_rpn_box_reg': 0.40959906578063965}ETA: 2:22:44.846616
Epoch 001/100 [0054/0164] --{'loss_classifier': 0.7267511487007141, 'loss_box_reg': 0.07996325194835663, 'loss_objectness': 0.6934192180633545, 'loss_rpn_box_reg': 0.18499086797237396}ETA: 2:22:44.079583
Epoch 001/100 [0055/0164] --{'loss_classifier': 0.7264787554740906, 'loss_box_reg': 0.12844139337539673, 'loss_objectness': 0.6917572021484375, 'loss_rpn_box_reg': 0.3440398573875427}ETA: 2:22:40.832482
Epoch 001/100 [0056/0164] --{'loss_classifier': 0.7309494018554688, 'loss_box_reg': 0.06812190264463425, 'loss_objectness': 0.6956679821014404, 'loss_rpn_box_reg': 0.36739277839660645}ETA: 2:22:38.784804
Epoch 001/100 [0057/0164] --{'loss_classifier': 0.7223286628723145, 'loss_box_reg': 0.04476234316825867, 'loss_objectness': 0.6949841380119324, 'loss_rpn_box_reg': 0.46027088165283203}ETA: 2:22:35.609127
Epoch 001/100 [0058/0164] --{'loss_classifier': 0.7264144420623779, 'loss_box_reg': 0.05956713482737541, 'loss_objectness': 0.6948033571243286, 'loss_rpn_box_reg': 0.46986502408981323}ETA: 2:22:33.340395
